Threshold,Accuracy,Precision,Recall,F1-Score
0.3,1.0,1.0,1.0,1.0
0.31,1.0,1.0,1.0,1.0
0.32,1.0,1.0,1.0,1.0
0.33,1.0,1.0,1.0,1.0
0.34,1.0,1.0,1.0,1.0
0.35,1.0,1.0,1.0,1.0
0.36,1.0,1.0,1.0,1.0
0.37,1.0,1.0,1.0,1.0
0.38,1.0,1.0,1.0,1.0
0.39,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.41,1.0,1.0,1.0,1.0
0.42,1.0,1.0,1.0,1.0
0.43,1.0,1.0,1.0,1.0
0.44,1.0,1.0,1.0,1.0
0.45,1.0,1.0,1.0,1.0
0.46,1.0,1.0,1.0,1.0
0.47,1.0,1.0,1.0,1.0
0.48,1.0,1.0,1.0,1.0
0.49,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
0.51,1.0,1.0,1.0,1.0
0.52,1.0,1.0,1.0,1.0
0.53,1.0,1.0,1.0,1.0
0.54,1.0,1.0,1.0,1.0
0.55,1.0,1.0,1.0,1.0
0.56,1.0,1.0,1.0,1.0
0.57,1.0,1.0,1.0,1.0
0.58,1.0,1.0,1.0,1.0
0.59,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.61,1.0,1.0,1.0,1.0
0.62,1.0,1.0,1.0,1.0
0.63,1.0,1.0,1.0,1.0
0.64,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.66,1.0,1.0,1.0,1.0
0.67,1.0,1.0,1.0,1.0
0.68,1.0,1.0,1.0,1.0
0.69,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.71,1.0,1.0,1.0,1.0
0.72,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.73,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.74,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.75,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.76,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.77,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.9966555183946488
0.78,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.9966555183946488
0.79,0.9933110367892977,0.9933110367892977,0.9933110367892977,0.9933110367892977
0.8,0.9866220735785953,0.9866220735785953,0.9866220735785953,0.9866220735785953
0.81,0.9832775919732442,0.9832775919732442,0.9832775919732442,0.9832775919732442
0.82,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174
0.83,0.9632107023411371,0.9632107023411371,0.9632107023411371,0.9632107023411371
0.84,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9347826086956522
0.85,0.9096989966555183,0.9096989966555183,0.9096989966555183,0.9096989966555183
0.86,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
0.87,0.862876254180602,0.862876254180602,0.862876254180602,0.862876254180602
0.88,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
0.89,0.754180602006689,0.754180602006689,0.754180602006689,0.754180602006689
0.9,0.6688963210702341,0.6688963210702341,0.6688963210702341,0.6688963210702341
0.91,0.580267558528428,0.580267558528428,0.580267558528428,0.580267558528428
0.92,0.4498327759197324,0.4498327759197324,0.4498327759197324,0.4498327759197324
0.93,0.3294314381270903,0.3294314381270903,0.3294314381270903,0.3294314381270903
0.94,0.20066889632107024,0.20066889632107024,0.20066889632107024,0.20066889632107024
0.95,0.09197324414715718,0.09197324414715718,0.09197324414715718,0.0919732441471572
0.96,0.03678929765886288,0.03678929765886288,0.03678929765886288,0.03678929765886288
0.97,0.010033444816053512,0.010033444816053512,0.010033444816053512,0.010033444816053512
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
