Threshold,Accuracy,Precision,Recall,F1-Score
0.7,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.69,0.9983277591973244,0.9983277591973244,0.9983277591973244,0.9983277591973244
0.68,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.9966555183946488
0.67,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.9966555183946488
0.66,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.9966555183946488
0.65,0.9933110367892977,0.9933110367892977,0.9933110367892977,0.9933110367892977
0.64,0.9916387959866221,0.9916387959866221,0.9916387959866221,0.9916387959866221
0.63,0.9866220735785953,0.9866220735785953,0.9866220735785953,0.9866220735785953
0.62,0.9849498327759197,0.9849498327759197,0.9849498327759197,0.9849498327759197
0.61,0.9816053511705686,0.9816053511705686,0.9816053511705686,0.9816053511705686
0.6,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174
0.59,0.9698996655518395,0.9698996655518395,0.9698996655518395,0.9698996655518395
0.58,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
0.57,0.939799331103679,0.939799331103679,0.939799331103679,0.939799331103679
0.56,0.9247491638795987,0.9247491638795987,0.9247491638795987,0.9247491638795987
0.55,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
0.54,0.903010033444816,0.903010033444816,0.903010033444816,0.903010033444816
0.53,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
0.52,0.8745819397993311,0.8745819397993311,0.8745819397993311,0.8745819397993311
0.51,0.862876254180602,0.862876254180602,0.862876254180602,0.862876254180602
0.5,0.8444816053511706,0.8444816053511706,0.8444816053511706,0.8444816053511706
0.49,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
0.48,0.7725752508361204,0.7725752508361204,0.7725752508361204,0.7725752508361204
0.47,0.754180602006689,0.754180602006689,0.754180602006689,0.754180602006689
0.46,0.725752508361204,0.725752508361204,0.725752508361204,0.725752508361204
0.45,0.6822742474916388,0.6822742474916388,0.6822742474916388,0.6822742474916388
0.44,0.637123745819398,0.637123745819398,0.637123745819398,0.637123745819398
0.43,0.6053511705685619,0.6053511705685619,0.6053511705685619,0.6053511705685619
0.42,0.5535117056856187,0.5535117056856187,0.5535117056856187,0.5535117056856187
0.41,0.5083612040133779,0.5083612040133779,0.5083612040133779,0.5083612040133779
0.4,0.4498327759197324,0.4498327759197324,0.4498327759197324,0.4498327759197324
0.39,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087
0.38,0.3528428093645485,0.3528428093645485,0.3528428093645485,0.3528428093645485
0.37,0.3010033444816054,0.3010033444816054,0.3010033444816054,0.3010033444816054
0.36,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913
0.35,0.21070234113712374,0.21070234113712374,0.21070234113712374,0.21070234113712377
0.34,0.1688963210702341,0.1688963210702341,0.1688963210702341,0.1688963210702341
0.33,0.13712374581939799,0.13712374581939799,0.13712374581939799,0.13712374581939799
0.32,0.10535117056856187,0.10535117056856187,0.10535117056856187,0.10535117056856189
0.31,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
0.3,0.056856187290969896,0.056856187290969896,0.056856187290969896,0.056856187290969896
0.29,0.0451505016722408,0.0451505016722408,0.0451505016722408,0.0451505016722408
0.28,0.03177257525083612,0.03177257525083612,0.03177257525083612,0.03177257525083612
0.27,0.02508361204013378,0.02508361204013378,0.02508361204013378,0.02508361204013378
0.26,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608
0.25,0.010033444816053512,0.010033444816053512,0.010033444816053512,0.010033444816053512
0.24,0.008361204013377926,0.008361204013377926,0.008361204013377926,0.008361204013377926
0.23,0.0016722408026755853,0.0016722408026755853,0.0016722408026755853,0.0016722408026755853
0.22,0.0016722408026755853,0.0016722408026755853,0.0016722408026755853,0.0016722408026755853
0.21,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
