Threshold,Accuracy,Precision,Recall,F1-Score
0.3,1.0,1.0,1.0,1.0
0.31,1.0,1.0,1.0,1.0
0.32,1.0,1.0,1.0,1.0
0.33,1.0,1.0,1.0,1.0
0.34,1.0,1.0,1.0,1.0
0.35,1.0,1.0,1.0,1.0
0.36,1.0,1.0,1.0,1.0
0.37,1.0,1.0,1.0,1.0
0.38,1.0,1.0,1.0,1.0
0.39,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.41,1.0,1.0,1.0,1.0
0.42,1.0,1.0,1.0,1.0
0.43,1.0,1.0,1.0,1.0
0.44,1.0,1.0,1.0,1.0
0.45,1.0,1.0,1.0,1.0
0.46,1.0,1.0,1.0,1.0
0.47,1.0,1.0,1.0,1.0
0.48,1.0,1.0,1.0,1.0
0.49,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
0.51,1.0,1.0,1.0,1.0
0.52,1.0,1.0,1.0,1.0
0.53,1.0,1.0,1.0,1.0
0.54,1.0,1.0,1.0,1.0
0.55,1.0,1.0,1.0,1.0
0.56,1.0,1.0,1.0,1.0
0.57,1.0,1.0,1.0,1.0
0.58,1.0,1.0,1.0,1.0
0.59,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.61,1.0,1.0,1.0,1.0
0.62,1.0,1.0,1.0,1.0
0.63,1.0,1.0,1.0,1.0
0.64,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.66,1.0,1.0,1.0,1.0
0.67,1.0,1.0,1.0,1.0
0.68,1.0,1.0,1.0,1.0
0.69,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.71,1.0,1.0,1.0,1.0
0.72,0.9987593052109182,0.9987593052109182,0.9987593052109182,0.9987593052109182
0.73,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.74,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.75,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.76,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.77,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.78,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.79,0.9925558312655087,0.9925558312655087,0.9925558312655087,0.9925558312655087
0.8,0.9875930521091811,0.9875930521091811,0.9875930521091811,0.9875930521091811
0.81,0.9851116625310173,0.9851116625310173,0.9851116625310173,0.9851116625310173
0.82,0.9813895781637717,0.9813895781637717,0.9813895781637717,0.9813895781637717
0.83,0.9751861042183623,0.9751861042183623,0.9751861042183623,0.9751861042183623
0.84,0.9528535980148883,0.9528535980148883,0.9528535980148883,0.9528535980148883
0.85,0.9305210918114144,0.9305210918114144,0.9305210918114144,0.9305210918114144
0.86,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129
0.87,0.8821339950372209,0.8821339950372209,0.8821339950372209,0.8821339950372209
0.88,0.8399503722084367,0.8399503722084367,0.8399503722084367,0.8399503722084366
0.89,0.7803970223325062,0.7803970223325062,0.7803970223325062,0.7803970223325062
0.9,0.7183622828784119,0.7183622828784119,0.7183622828784119,0.7183622828784118
0.91,0.6228287841191067,0.6228287841191067,0.6228287841191067,0.6228287841191067
0.92,0.49627791563275436,0.49627791563275436,0.49627791563275436,0.49627791563275436
0.93,0.36724565756823824,0.36724565756823824,0.36724565756823824,0.36724565756823824
0.94,0.2022332506203474,0.2022332506203474,0.2022332506203474,0.2022332506203474
0.95,0.09057071960297766,0.09057071960297766,0.09057071960297766,0.09057071960297766
0.96,0.034739454094292806,0.034739454094292806,0.034739454094292806,0.034739454094292806
0.97,0.00620347394540943,0.00620347394540943,0.00620347394540943,0.00620347394540943
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
