Threshold,Accuracy,Precision,Recall,F1-Score
0.7,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.69,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.68,0.9961439588688946,0.9961439588688946,0.9961439588688946,0.9961439588688946
0.67,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
0.66,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
0.65,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
0.64,0.9922879177377892,0.9922879177377892,0.9922879177377892,0.9922879177377892
0.63,0.9884318766066839,0.9884318766066839,0.9884318766066839,0.9884318766066839
0.62,0.9884318766066839,0.9884318766066839,0.9884318766066839,0.9884318766066839
0.61,0.9845758354755784,0.9845758354755784,0.9845758354755784,0.9845758354755784
0.6,0.9820051413881749,0.9820051413881749,0.9820051413881749,0.9820051413881749
0.59,0.9730077120822622,0.9730077120822622,0.9730077120822622,0.9730077120822622
0.58,0.9640102827763496,0.9640102827763496,0.9640102827763496,0.9640102827763496
0.57,0.9498714652956298,0.9498714652956298,0.9498714652956298,0.9498714652956298
0.56,0.9434447300771208,0.9434447300771208,0.9434447300771208,0.9434447300771208
0.55,0.9305912596401028,0.9305912596401028,0.9305912596401028,0.9305912596401028
0.54,0.9203084832904884,0.9203084832904884,0.9203084832904884,0.9203084832904884
0.53,0.9061696658097687,0.9061696658097687,0.9061696658097687,0.9061696658097687
0.52,0.8984575835475579,0.8984575835475579,0.8984575835475579,0.8984575835475579
0.51,0.8791773778920309,0.8791773778920309,0.8791773778920309,0.8791773778920309
0.5,0.8611825192802056,0.8611825192802056,0.8611825192802056,0.8611825192802056
0.49,0.8226221079691517,0.8226221079691517,0.8226221079691517,0.8226221079691517
0.48,0.8046272493573264,0.8046272493573264,0.8046272493573264,0.8046272493573265
0.47,0.7802056555269923,0.7802056555269923,0.7802056555269923,0.7802056555269923
0.46,0.7557840616966581,0.7557840616966581,0.7557840616966581,0.7557840616966581
0.45,0.7223650385604113,0.7223650385604113,0.7223650385604113,0.7223650385604113
0.44,0.6966580976863753,0.6966580976863753,0.6966580976863753,0.6966580976863753
0.43,0.6593830334190232,0.6593830334190232,0.6593830334190232,0.6593830334190232
0.42,0.6246786632390745,0.6246786632390745,0.6246786632390745,0.6246786632390745
0.41,0.5732647814910026,0.5732647814910026,0.5732647814910026,0.5732647814910026
0.4,0.5295629820051414,0.5295629820051414,0.5295629820051414,0.5295629820051414
0.39,0.46272493573264784,0.46272493573264784,0.46272493573264784,0.46272493573264784
0.38,0.40102827763496146,0.40102827763496146,0.40102827763496146,0.4010282776349615
0.37,0.34575835475578404,0.34575835475578404,0.34575835475578404,0.34575835475578404
0.36,0.2930591259640103,0.2930591259640103,0.2930591259640103,0.2930591259640103
0.35,0.2275064267352185,0.2275064267352185,0.2275064267352185,0.2275064267352185
0.34,0.18508997429305912,0.18508997429305912,0.18508997429305912,0.18508997429305912
0.33,0.14010282776349614,0.14010282776349614,0.14010282776349614,0.14010282776349614
0.32,0.11053984575835475,0.11053984575835475,0.11053984575835475,0.11053984575835475
0.31,0.08868894601542417,0.08868894601542417,0.08868894601542417,0.08868894601542417
0.3,0.06426735218508997,0.06426735218508997,0.06426735218508997,0.06426735218508997
0.29,0.04498714652956298,0.04498714652956298,0.04498714652956298,0.04498714652956298
0.28,0.03984575835475578,0.03984575835475578,0.03984575835475578,0.03984575835475578
0.27,0.030848329048843187,0.030848329048843187,0.030848329048843187,0.030848329048843187
0.26,0.02442159383033419,0.02442159383033419,0.02442159383033419,0.02442159383033419
0.25,0.014138817480719794,0.014138817480719794,0.014138817480719794,0.014138817480719794
0.24,0.005141388174807198,0.005141388174807198,0.005141388174807198,0.005141388174807198
0.23,0.002570694087403599,0.002570694087403599,0.002570694087403599,0.002570694087403599
0.22,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
