Threshold,Accuracy,Precision,Recall,F1-Score
0.3,1.0,1.0,1.0,1.0
0.31,1.0,1.0,1.0,1.0
0.32,1.0,1.0,1.0,1.0
0.33,1.0,1.0,1.0,1.0
0.34,1.0,1.0,1.0,1.0
0.35,1.0,1.0,1.0,1.0
0.36,1.0,1.0,1.0,1.0
0.37,1.0,1.0,1.0,1.0
0.38,1.0,1.0,1.0,1.0
0.39,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.41,1.0,1.0,1.0,1.0
0.42,1.0,1.0,1.0,1.0
0.43,1.0,1.0,1.0,1.0
0.44,1.0,1.0,1.0,1.0
0.45,1.0,1.0,1.0,1.0
0.46,1.0,1.0,1.0,1.0
0.47,1.0,1.0,1.0,1.0
0.48,1.0,1.0,1.0,1.0
0.49,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
0.51,1.0,1.0,1.0,1.0
0.52,1.0,1.0,1.0,1.0
0.53,1.0,1.0,1.0,1.0
0.54,1.0,1.0,1.0,1.0
0.55,1.0,1.0,1.0,1.0
0.56,1.0,1.0,1.0,1.0
0.57,1.0,1.0,1.0,1.0
0.58,1.0,1.0,1.0,1.0
0.59,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.61,1.0,1.0,1.0,1.0
0.62,1.0,1.0,1.0,1.0
0.63,1.0,1.0,1.0,1.0
0.64,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.66,1.0,1.0,1.0,1.0
0.67,1.0,1.0,1.0,1.0
0.68,1.0,1.0,1.0,1.0
0.69,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.71,1.0,1.0,1.0,1.0
0.72,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.73,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.74,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.75,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.76,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982
0.77,0.9961439588688946,0.9961439588688946,0.9961439588688946,0.9961439588688946
0.78,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
0.79,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
0.8,0.9884318766066839,0.9884318766066839,0.9884318766066839,0.9884318766066839
0.81,0.9884318766066839,0.9884318766066839,0.9884318766066839,0.9884318766066839
0.82,0.9820051413881749,0.9820051413881749,0.9820051413881749,0.9820051413881749
0.83,0.9704370179948586,0.9704370179948586,0.9704370179948586,0.9704370179948586
0.84,0.9447300771208226,0.9447300771208226,0.9447300771208226,0.9447300771208226
0.85,0.9280205655526992,0.9280205655526992,0.9280205655526992,0.9280205655526992
0.86,0.9048843187660668,0.9048843187660668,0.9048843187660668,0.9048843187660668
0.87,0.8791773778920309,0.8791773778920309,0.8791773778920309,0.8791773778920309
0.88,0.8226221079691517,0.8226221079691517,0.8226221079691517,0.8226221079691517
0.89,0.7802056555269923,0.7802056555269923,0.7802056555269923,0.7802056555269923
0.9,0.7107969151670951,0.7107969151670951,0.7107969151670951,0.7107969151670951
0.91,0.6401028277634961,0.6401028277634961,0.6401028277634961,0.6401028277634961
0.92,0.5295629820051414,0.5295629820051414,0.5295629820051414,0.5295629820051414
0.93,0.37146529562982006,0.37146529562982006,0.37146529562982006,0.37146529562982006
0.94,0.20822622107969152,0.20822622107969152,0.20822622107969152,0.20822622107969152
0.95,0.10025706940874037,0.10025706940874037,0.10025706940874037,0.10025706940874038
0.96,0.04113110539845758,0.04113110539845758,0.04113110539845758,0.04113110539845758
0.97,0.006426735218508998,0.006426735218508998,0.006426735218508998,0.006426735218508998
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
