Threshold,Accuracy,Precision,Recall,F1-Score
0.7,1.0,1.0,1.0,1.0
0.71,1.0,1.0,1.0,1.0
0.72,0.9987593052109182,0.9987593052109182,0.9987593052109182,0.9987593052109182
0.73,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.74,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.75,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.76,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.77,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.78,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.79,0.9925558312655087,0.9925558312655087,0.9925558312655087,0.9925558312655087
0.8,0.9875930521091811,0.9875930521091811,0.9875930521091811,0.9875930521091811
0.81,0.9851116625310173,0.9851116625310173,0.9851116625310173,0.9851116625310173
0.82,0.9813895781637717,0.9813895781637717,0.9813895781637717,0.9813895781637717
0.83,0.9751861042183623,0.9751861042183623,0.9751861042183623,0.9751861042183623
0.84,0.9528535980148883,0.9528535980148883,0.9528535980148883,0.9528535980148883
0.85,0.9305210918114144,0.9305210918114144,0.9305210918114144,0.9305210918114144
0.86,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129
0.87,0.8821339950372209,0.8821339950372209,0.8821339950372209,0.8821339950372209
0.88,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549
0.89,0.7803970223325062,0.7803970223325062,0.7803970223325062,0.7803970223325062
0.9,0.71712158808933,0.71712158808933,0.71712158808933,0.71712158808933
0.91,0.6228287841191067,0.6228287841191067,0.6228287841191067,0.6228287841191067
0.92,0.49627791563275436,0.49627791563275436,0.49627791563275436,0.49627791563275436
0.93,0.36724565756823824,0.36724565756823824,0.36724565756823824,0.36724565756823824
0.94,0.2022332506203474,0.2022332506203474,0.2022332506203474,0.2022332506203474
0.95,0.09057071960297766,0.09057071960297766,0.09057071960297766,0.09057071960297766
0.96,0.034739454094292806,0.034739454094292806,0.034739454094292806,0.034739454094292806
0.97,0.00620347394540943,0.00620347394540943,0.00620347394540943,0.00620347394540943
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
