Threshold,Accuracy,Precision,Recall,F1-Score
0.7,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.69,0.9975186104218362,0.9975186104218362,0.9975186104218362,0.9975186104218362
0.68,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.67,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.66,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724
0.65,0.9925558312655087,0.9925558312655087,0.9925558312655087,0.9925558312655087
0.64,0.988833746898263,0.988833746898263,0.988833746898263,0.988833746898263
0.63,0.9875930521091811,0.9875930521091811,0.9875930521091811,0.9875930521091811
0.62,0.9875930521091811,0.9875930521091811,0.9875930521091811,0.9875930521091811
0.61,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355
0.6,0.9813895781637717,0.9813895781637717,0.9813895781637717,0.9813895781637717
0.59,0.9764267990074442,0.9764267990074442,0.9764267990074442,0.9764267990074442
0.58,0.9727047146401985,0.9727047146401985,0.9727047146401985,0.9727047146401985
0.57,0.9602977667493796,0.9602977667493796,0.9602977667493796,0.9602977667493796
0.56,0.9454094292803971,0.9454094292803971,0.9454094292803971,0.9454094292803971
0.55,0.9330024813895782,0.9330024813895782,0.9330024813895782,0.9330024813895782
0.54,0.9181141439205955,0.9181141439205955,0.9181141439205955,0.9181141439205955
0.53,0.9044665012406948,0.9044665012406948,0.9044665012406948,0.9044665012406948
0.52,0.8945409429280397,0.8945409429280397,0.8945409429280397,0.8945409429280397
0.51,0.8821339950372209,0.8821339950372209,0.8821339950372209,0.8821339950372209
0.5,0.8647642679900744,0.8647642679900744,0.8647642679900744,0.8647642679900744
0.49,0.8399503722084367,0.8399503722084367,0.8399503722084367,0.8399503722084366
0.48,0.8101736972704715,0.8101736972704715,0.8101736972704715,0.8101736972704715
0.47,0.78287841191067,0.78287841191067,0.78287841191067,0.78287841191067
0.46,0.7531017369727047,0.7531017369727047,0.7531017369727047,0.7531017369727047
0.45,0.7258064516129032,0.7258064516129032,0.7258064516129032,0.7258064516129032
0.44,0.6873449131513648,0.6873449131513648,0.6873449131513648,0.6873449131513648
0.43,0.6513647642679901,0.6513647642679901,0.6513647642679901,0.6513647642679901
0.42,0.6029776674937966,0.6029776674937966,0.6029776674937966,0.6029776674937966
0.41,0.5471464019851117,0.5471464019851117,0.5471464019851117,0.5471464019851117
0.4,0.49627791563275436,0.49627791563275436,0.49627791563275436,0.49627791563275436
0.39,0.4491315136476427,0.4491315136476427,0.4491315136476427,0.4491315136476427
0.38,0.40074441687344914,0.40074441687344914,0.40074441687344914,0.40074441687344914
0.37,0.3424317617866005,0.3424317617866005,0.3424317617866005,0.3424317617866005
0.36,0.28287841191067,0.28287841191067,0.28287841191067,0.28287841191067
0.35,0.22208436724565755,0.22208436724565755,0.22208436724565755,0.22208436724565755
0.34,0.17245657568238212,0.17245657568238212,0.17245657568238212,0.17245657568238212
0.33,0.13647642679900746,0.13647642679900746,0.13647642679900746,0.13647642679900746
0.32,0.09801488833746898,0.09801488833746898,0.09801488833746898,0.09801488833746898
0.31,0.07816377171215881,0.07816377171215881,0.07816377171215881,0.07816377171215881
0.3,0.060794044665012405,0.060794044665012405,0.060794044665012405,0.060794044665012405
0.29,0.03970223325062035,0.03970223325062035,0.03970223325062035,0.03970223325062035
0.28,0.033498759305210915,0.033498759305210915,0.033498759305210915,0.033498759305210915
0.27,0.02357320099255583,0.02357320099255583,0.02357320099255583,0.02357320099255583
0.26,0.017369727047146403,0.017369727047146403,0.017369727047146403,0.017369727047146403
0.25,0.008684863523573201,0.008684863523573201,0.008684863523573201,0.008684863523573201
0.24,0.0024813895781637717,0.0024813895781637717,0.0024813895781637717,0.0024813895781637717
0.23,0.0012406947890818859,0.0012406947890818859,0.0012406947890818859,0.0012406947890818859
0.22,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
